compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,species,spinD,Egap,agl_thermal_expansion_300K,agl_debye,enthalpy_formation_atom,natoms,volume_cell,ael_bulk_modulus_vrh,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_thermal_conductivity_300K
C1Sc1,aflow:e9b28a327b4f0028,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sc1_ICSD_189084,225,cF8,"['C', 'Sc']","[0, 0]",0,,,,2,26.9381,,,,,
C1Si1,aflow:0e5c7dd4d4402dff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Si1_ICSD_182362,225,cF8,"['C', 'Si']","[0, 0]",0,2.71302e-05,1026.21,0.535123,2,16.7055,242.211,0.206966,176.416,425.857,60.7937
C1Sn1,aflow:01f0334da2961bb4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Sn1_ICSD_182366,225,cF8,"['C', 'Sn']","[0, 0]",0,5.65259e-05,444.036,,2,29.3732,119.661,0.211036,85.6568,207.467,14.5718
C1Ta1,aflow:00a1069b6142347c,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_185979,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8488,,,,,
C1Ta1,aflow:0961d0e6049cfdf0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_601144,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8579,,,,,
C1Ta1,aflow:0b9d4467cef30c36,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618844,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8676,,,,,
C1Ta1,aflow:181ba7fa2b2601c1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618841,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8676,,,,,
C1Ta1,aflow:1a09c2f90d68b88d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618846,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8825,,,,,
C1Ta1,aflow:20e821530f762f35,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618839,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8676,,,,,
C1Ta1,aflow:22bff7899889f374,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618833,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8676,,,,,
C1Ta1,aflow:2391172d7af0e248,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_618831,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8486,,,,,
C1Ta1,aflow:30b8bfe5c6e7f866,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C1Ta1_ICSD_44497,225,cF8,"['C', 'Ta']","[0, 0]",0,,,,2,22.8676,,,,,
